School_x,business_school,Acceptance Rate,Average Salary,School_Latitude,School_Longitude,Nearest MTA_Lat,Nearest MTA_Long,In the MTA?,City Chosen
University of Pennsylvania (Wharton),Wharton,0.0649,80354,39.95216943,-75.19346047,39.95276917,-75.16407793,Yes,Philadelphia
Washington University in St. Louis (Olin),Olin,0.097,67115,38.65127384,-90.31113952,39.76868853,-86.16054897,No,Indianapolis
University of California-Berkeley (Haas),Haas,0.043,73302,37.87188001,-122.2585412,37.76950648,-122.4201616,No,San Francisco
Cornell University (Dyson),Dyson,0.029,74493,42.51049151,-76.48402902,40.71183265,-74.0069742,No,New York
University of Michigan (Ross),Ross,0.12,72268,42.27827145,-83.73789088,42.33154136,-83.04563958,No,Detroit
New York University (Stern),Stern,0.08,80546,40.72925466,-73.99627276,40.71183265,-74.0069742,Yes,New York
Carnegie Mellon University (Tepper),Tepper,0.12,77987,40.44510397,-79.94537474,39.95276917,-75.16407793,No,Philadelphia
Georgetown University (McDonough),McDonough,0.1584,73019,38.90909991,-77.07566805,38.9081312,-77.03729142,Yes,Washington DC
University of Virginia (McIntire),McIntire,0.1215,75068,38.05298698,-78.51469575,38.9081312,-77.03729142,No,Washington DC
University of Notre Dame (Mendoza),Mendoza,0.19,65000,41.71859628,-86.23052296,41.88593868,-87.63423404,No,Chicago
University of California-Irvine (Merage),Merage,0.22,54479,33.64051304,-117.8443928,34.04995157,-118.2480766,No,Los Angeles
University of North Carolina at Chapel Hill (Kenan-Flagler),Kenan-Flagler,0.1217,66667,35.90479052,-79.04696705,35.2267415,-80.84387748,No,Charlotte
Southern Methodist University (Cox),Cox,0.1112,67138,32.84232309,-96.78363772,32.77656964,-96.80033616,Yes,Dallas
Emory University (Goizueta),Goizueta,0.1721,66297,33.79721202,-84.32229567,33.74865951,-84.38808142,Yes,Atlanta
Boston College (Carroll),Carroll,0.25,65814,42.33454283,-71.17002289,42.35979786,-71.0572255,Yes,Boston
University of Texas-Austin (McCombs),McCombs,0.228,67347,30.28430378,-97.73764047,30.26683736,-97.74322601,Yes ,Austin
Georgia Institute of Technology (Scheller),Scheller,0.237,62545,33.77655931,-84.3877328,33.74865951,-84.38808142,Yes,Atlanta
Boston University (Questrom),Questrom,0.1776,64275,42.35078512,-71.10519525,42.35979786,-71.0572255,Yes,Boston
Indiana University (Kelley),Kelley,0.4038,62734,39.17253714,-86.51933744,39.76868853,-86.16054897,No,Indianapolis
Tulane University (Freeman),Freeman,0.22,60442,29.93917515,-90.11959366,29.75949676,-95.36914678,No,Houston
The College of William & Mary (Mason),Mason,0.224,64724,37.27180163,-76.71609132,38.9081312,-77.03729142,No,Washington DC
University of Richmond (Robins),Robins,0.3031,62969,37.57517538,-77.54076825,38.9081312,-77.03729142,No,Washington DC
University of Washington (Foster),Foster,0.2095,61039,47.65928146,-122.3077685,47.6064623,-122.3345189,Yes,Seattle
