School_x,business_school,School,Tuition_Fees_17&18
University of Pennsylvania (Wharton),Wharton,University of Pennsylvania ,53534
Washington University in St. Louis (Olin),Olin,Washington University in St. Louis ,51533
University of California-Berkeley (Haas),Haas,University of California-Berkeley ,42184
Cornell University (Dyson),Dyson,Cornell University ,52853
University of Michigan (Ross),Ross,University of Michigan ,32451.5
New York University (Stern),Stern,New York University ,50464
Carnegie Mellon University (Tepper),Tepper,Carnegie Mellon University ,53910
Georgetown University (McDonough),McDonough,Georgetown University ,52300
University of Virginia (McIntire),McIntire,University of Virginia ,31902.5
University of Notre Dame (Mendoza),Mendoza,University of Notre Dame ,51495
University of California-Irvine (Merage),Merage,University of California-Irvine ,27745
University of North Carolina at Chapel Hill (Kenan-Flagler),Kenan-Flagler,University of North Carolina at Chapel Hill ,22078.5
Southern Methodist University (Cox),Cox,Southern Methodist University ,52498
Emory University (Goizueta),Goizueta,Emory University ,49392
Boston College (Carroll),Carroll,Boston College ,53346
University of Texas-Austin (McCombs),McCombs,University of Texas-Austin ,23571
Georgia Institute of Technology (Scheller),Scheller,Georgia Institute of Technology ,22716
Boston University (Questrom),Questrom,Boston University ,52082
Indiana University (Kelley),Kelley,Indiana University ,22689
Tulane University (Freeman),Freeman,Tulane University ,52960
The College of William & Mary (Mason),Mason,The College of William & Mary ,31978.5
University of Richmond (Robins),Robins,University of Richmond ,50910
University of Washington (Foster),Foster,University of Washington ,23256
University of Minnesota (Carlson),Carlson,University of Minnesota ,20510
Babson College,Babson College,Babson College,49664
Worcester Polytechnic Institute (Foisie),Foisie,Worcester Polytechnic Institute ,48628
Fordham University (Gabelli),Gabelli,Fordham University ,50601
University of Georgia (Terry),Terry,University of Georgia ,21105
University of Houston (Bauer),Bauer,University of Houston ,15886
Rutgers Business School (New Brunswick),New Brunswick,Rutgers Business School ,22608.5
Texas A&M University (Mays),Mays,Texas A&M University ,23077
Syracuse University (Whitman),Whitman,Syracuse University ,46755
University of Massachusetts-Amherst (Isenberg),Isenberg,University of Massachusetts-Amherst ,24444
University of Utah (Eccles),Eccles,University of Utah ,18505.5
American University (Kogod),Kogod,American University ,46615
Ohio State University (Fisher),Fisher,Ohio State University ,20144
Pennsylvania State University (Smeal),Smeal,Pennsylvania State University ,19441
University of Denver (Daniels),Daniels,University of Denver ,48669
Texas Christian University (Neeley),Neeley,Texas Christian University ,44760
University of Kentucky (Gatton),Gatton,University of Kentucky ,19994
Purdue University (Krannert),Krannert,Purdue University ,14167.5
Rensselaer Polytechnic Institute (Lally),Lally,Rensselaer Polytechnic Institute ,52305
Michigan State University (Broad),Broad,Michigan State University ,27699.5
Santa Clara University (Leavey),Leavey,Santa Clara University ,49858
Miami University (Farmer),Farmer,Miami University ,10879.5
St. John's University (Tobin),Tobin,St. John's University ,40197
Seton Hall University (Stillman),Stillman,Seton Hall University ,40588
University of Texas-Dallas (Jindal),Jindal,University of Texas-Dallas ,20592
Rutgers Business School (Newark),Newark,Rutgers Business School ,22608.5
University of Tennessee-Knoxville (Haslam),Haslam,University of Tennessee-Knoxville ,22180
St. Thomas University (Opus),Opus,St. Thomas University ,29730
Drexel University (LeBow),LeBow,Drexel University ,52002
Elon University (Love),Love,Elon University ,34273
University of Oklahoma (Price),Price,University of Oklahoma ,16753.5
Rochester Institute of Technology (Saunders),Saunders,Rochester Institute of Technology ,40068
University of Arizona (Eller),Eller,University of Arizona ,22026.5
University of New Hampshire (Paul),Paul,University of New Hampshire ,25352
Texas Tech University (Rawls),Rawls,Texas Tech University ,13756
Evansville University (Schroeder),Schroeder,Evansville University ,35396
Villanova University,Villanova,Villanova University,51284
Wake Forest University,Wake Forest,Wake Forest University,51400
Northeastern University (D'amore-McKim),D’Amore-McKim,Northeastern University ,49497
University of Wisconsin-Madison,Wisconsin,University of Wisconsin-Madison,22658
Lehigh University,Lehigh,Lehigh University,50740
University of Illinois at Champaign-Urbana (Geis),Gies,University of Illinois at Champaign-Urbana ,26006
University of Pittsburgh,Pittsburgh,University of Pittsburgh,24861
Hult International Business School,Hult International,Hult International Business School,38584
University of San Diego,San Diego,University of San Diego,47708
Christopher Newport University,Christopher Newport,Christopher Newport University,19752
Providence College,Providence,Providence College,48764
James Madison University,James Madison,James Madison University,19030
University of Akron,Akron,University of Akron,14535.5
Florida Southern College,Florida Southern,Florida Southern College,34774
Lipscomb University,Lipscomb,Lipscomb University,30932
University of North Carolina-Wilmington,North Carolina-Wilmington,University of North Carolina-Wilmington,14032.5
Ithaca College,Ithaca,Ithaca College,42884
Northern Illinois University,Northern Illinois,Northern Illinois University,19058
University of Michigan-Dearborn,Michigan-Dearborn,University of Michigan-Dearborn,18754
Bowling Green State University,Bowling Green,Bowling Green State University,14825
University of Miami,Miami,University of Miami,48484
Brigham Young University (Marriott),Marriott,Brigham Young University ,5460
The College of New Jersey,TCNJ,The College of New Jersey,21863.5
University of South Carolina (Darla Moore),Darla Moore,University of South Carolina ,21912
University of Delaware (Lerner),Lerner,University of Delaware ,23155
University of Missouri-Columbia (Trulaske),Trulaske,University of Missouri-Columbia ,18146.5
St. Louis University (Chaifetz),Chaifetz,St. Louis University ,42166
Sacred Heart University (Jack Welch),Jack Welch,Sacred Heart University ,39820
Duquesne University (Palumbo Donahue),Donahue,Duquesne University ,36394
