School_x,business_school,Acceptance Rate,Average Salary,Public(0) or Private(1),Alumni,
University of Pennsylvania (Wharton),Wharton,0.0649,80354,1,99000,https://undergrad.wharton.upenn.edu/get-connected/
Washington University in St. Louis (Olin),Olin,0.097,67115,1,21000,https://olin.wustl.edu/en-US/about-olin/Pages/default.aspx
University of California-Berkeley (Haas),Haas,0.043,73302,0,39000,https://haas.berkeley.edu/undergrad/the-value-of-a-haas-degree/alumni-network/
Cornell University (Dyson),Dyson,0.029,74493,1,,
University of Michigan (Ross),Ross,0.12,72268,0,52000,https://michiganross.umich.edu/about/key-facts
New York University (Stern),Stern,0.08,80546,1,48000,https://www.stern.nyu.edu/programs-admissions/undergraduate/why-stern/numbers#alumni
Carnegie Mellon University (Tepper),Tepper,0.12,77987,1,110000,https://www.stern.nyu.edu/portal-partners/alumni
Georgetown University (McDonough),McDonough,0.1584,73019,1,28500,https://msb.georgetown.edu/alumni/facts-figures/
University of Virginia (McIntire),McIntire,0.1215,75068,0,20500,https://www.commerce.virginia.edu/about
University of Notre Dame (Mendoza),Mendoza,0.19,65000,1,40000,https://mendoza.nd.edu/alumni/
University of California-Irvine (Merage),Merage,0.22,54479,0,,
University of North Carolina at Chapel Hill (Kenan-Flagler),Kenan-Flagler,0.1217,66667,0,42000,https://www.kenan-flagler.unc.edu/about/
Southern Methodist University (Cox),Cox,0.1112,67138,1,,
Emory University (Goizueta),Goizueta,0.1721,66297,1,26000,https://goizueta.emory.edu/alumni/resources
Boston College (Carroll),Carroll,0.25,65814,1,37000,https://www.bc.edu/bc-web/schools/carroll-school/audience-pages/alumni.html
University of Texas-Austin (McCombs),McCombs,0.228,67347,0,97000,https://www.mccombs.utexas.edu/MBA/Full-Time/Alumni
Georgia Institute of Technology (Scheller),Scheller,0.237,62545,0,130000,https://www.scheller.gatech.edu/why-scheller/alumni-network/index.html
Boston University (Questrom),Questrom,0.1776,64275,1,50000,https://www.bu.edu/questrom/alumni/
Indiana University (Kelley),Kelley,0.4038,62734,0,123000,https://kelley.iu.edu/alumni/index.html
Tulane University (Freeman),Freeman,0.22,60442,1,20000,https://freeman.tulane.edu/about-freeman
The College of William & Mary (Mason),Mason,0.224,64724,0,100000,https://www.wm.edu/about/wmdifference/incrediblealumni/index.php
University of Richmond (Robins),Robins,0.3031,62969,1,,
University of Washington (Foster),Foster,0.2095,61039,0,57000,https://foster.uw.edu/foster-alumni/
University of Minnesota (Carlson),Carlson,0.2844,56989,0,55000,https://carlsonschool.umn.edu/alumni
Babson College,Babson College,0.24,57665,1,43000,https://www.babson.edu/alumni/about-us/
Worcester Polytechnic Institute (Foisie),Foisie,0.36,69930,1,38000,https://www.wpi.edu/alumni
Fordham University (Gabelli),Gabelli,0.449,63777,1,180000,https://www.fordham.edu/homepage/4203/alumni
University of Georgia (Terry),Terry,0.4744,56428,0,70000,https://www.terry.uga.edu/mba/executive/alumni-network
University of Houston (Bauer),Bauer,0.2518,54144,0,,
Rutgers Business School (New Brunswick),New Brunswick,0.46,60228,0,43000,https://www.business.rutgers.edu/alumni
Texas A&M University (Mays),Mays,0.3407,57286,0,,
Syracuse University (Whitman),Whitman,0.381,59371,1,30000,https://whitman.syr.edu/alumni/index.aspx
University of Massachusetts-Amherst (Isenberg),Isenberg,0.306,57782,0,48000,https://www.isenberg.umass.edu/deans-report-2019-2020
University of Utah (Eccles),Eccles,0.408,51478,0,37000,https://issuu.com/ecclesschool/docs/eccles_alumni_report_2018_r1.1.6_lr
American University (Kogod),Kogod,0.316,58670,1,128000,https://www.american.edu/kogod/alumni/
Ohio State University (Fisher),Fisher,0.386,54740,0,80000,https://fisher.osu.edu/
Pennsylvania State University (Smeal),Smeal,0.37,60046,0,88000,https://www.smeal.psu.edu/alumni
University of Denver (Daniels),Daniels,0.463,50975,1,40000,https://daniels.du.edu/alumni/
Texas Christian University (Neeley),Neeley,0.4656,60719,1,,
University of Kentucky (Gatton),Gatton,0.6979,49175,0,300000,https://gatton.uky.edu/programs
Purdue University (Krannert),Krannert,0.62,57473,0,40000,https://krannert.purdue.edu/kpdc/alumni.php
Rensselaer Polytechnic Institute (Lally),Lally,0.42,67200,1,,
Michigan State University (Broad),Broad,0.3219,58706,0,80000,https://broad.msu.edu/alumni/
Santa Clara University (Leavey),Leavey,0.435,59333,1,"140,000",scu.edu/business/alumni/
Miami University (Farmer),Farmer,0.626,59540,0,40000,https://www.miamioh.edu/fsb/about/why-choose-the-farmer-school/index.html
St. John's University (Tobin),Tobin,0.59,59146,1,,
Seton Hall University (Stillman),Stillman,0.576,59451,1,20000,https://www.shu.edu/business/about.cfm
University of Texas-Dallas (Jindal),Jindal,0.6,58100,0,50000,https://jindal.utdallas.edu/alumni/
Rutgers Business School (Newark),Newark,0.55,54211,0,43000,https://www.business.rutgers.edu/alumni
University of Tennessee-Knoxville (Haslam),Haslam,0.85,50446,0,,
St. Thomas University (Opus),Opus,0.83,48000,1,34000,https://business.stthomas.edu/opus-advantage/facts-figures/
Drexel University (LeBow),LeBow,0.74,57185,1,40000,https://www.lebow.drexel.edu/about/alumni-engagement/alumni-groups/lebow-alumni-association
Elon University (Love),Love,0.721,52299,1,,
