,School_x,business_school,Acceptance Rate,Average Salary,Public(0) or Private(1),Reputation Score,Alumni,Tuition_Fees_17&18,Distance to Nearest City (Miles),Distance Far vs. Close
0,University of Pennsylvania (Wharton),Wharton,0.0649,80354,1,4.8,99000.0,53534.0,1.5607043064826358,Close
1,Washington University in St. Louis (Olin),Olin,0.097,67115,1,4.1,21000.0,51533.0,235.6847264650089,Far
2,University of California-Berkeley (Haas),Haas,0.043,73302,0,4.6,39000.0,42184.0,11.31518825207556,Close
3,Cornell University (Dyson),Dyson,0.029,74493,1,4.3,,52853.0,178.50033030548445,Far
4,University of Michigan (Ross),Ross,0.12,72268,0,4.6,52000.0,32451.5,35.65717417595589,Close
5,New York University (Stern),Stern,0.08,80546,1,4.4,48000.0,50464.0,1.326961919576017,Close
6,Carnegie Mellon University (Tepper),Tepper,0.12,77987,1,,110000.0,53910.0,255.20181010350203,Far
7,Georgetown University (McDonough),McDonough,0.1584,73019,1,4.0,28500.0,52300.0,2.069438360141229,Close
8,University of Virginia (McIntire),McIntire,0.1215,75068,0,4.3,20500.0,31902.5,99.47401635570516,Far
9,University of Notre Dame (Mendoza),Mendoza,0.19,65000,1,4.1,40000.0,51495.0,73.4012398386909,Far
10,University of California-Irvine (Merage),Merage,0.22,54479,0,3.7,,27745.0,36.54161387212739,Close
11,University of North Carolina at Chapel Hill (Kenan-Flagler),Kenan-Flagler,0.1217,66667,0,4.4,42000.0,22078.5,111.49127316742636,Far
12,Southern Methodist University (Cox),Cox,0.1112,67138,1,3.4,,52498.0,4.6341468997534045,Close
13,Emory University (Goizueta),Goizueta,0.1721,66297,1,4.1,26000.0,49392.0,5.053226640179671,Close
14,Boston College (Carroll),Carroll,0.25,65814,1,3.8,37000.0,53346.0,6.032594684089073,Close
15,University of Texas-Austin (McCombs),McCombs,0.228,67347,0,4.4,97000.0,23571.0,1.2486316568410578,Close
16,Georgia Institute of Technology (Scheller),Scheller,0.237,62545,0,3.9,130000.0,22716.0,1.922995634349212,Close
17,Boston University (Questrom),Questrom,0.1776,64275,1,3.5,50000.0,52082.0,2.5333151389544533,Close
18,Indiana University (Kelley),Kelley,0.4038,62734,0,4.3,123000.0,22689.0,45.38104985432886,Close
19,Tulane University (Freeman),Freeman,0.22,60442,1,3.5,20000.0,52960.0,315.4202670844136,Far
20,The College of William & Mary (Mason),Mason,0.224,64724,0,3.4,100000.0,31978.5,114.2091908692364,Far
