,School_x,business_school,Acceptance Rate,Average Salary,Distance to Nearest City,Far vs Close
0,University of Pennsylvania (Wharton),Wharton,0.0649,80354,1.5607043064826358,Close
1,Washington University in St. Louis (Olin),Olin,0.097,67115,235.6847264650089,Far
2,University of California-Berkeley (Haas),Haas,0.043,73302,11.31518825207556,Close
3,Cornell University (Dyson),Dyson,0.029,74493,178.50033030548443,Far
4,University of Michigan (Ross),Ross,0.12,72268,35.65717417595589,Close
5,New York University (Stern),Stern,0.08,80546,1.326961919576017,Close
6,Carnegie Mellon University (Tepper),Tepper,0.12,77987,255.20181010350203,Far
7,Georgetown University (McDonough),McDonough,0.1584,73019,2.069438360141229,Close
8,University of Virginia (McIntire),McIntire,0.1215,75068,99.47401635570516,Far
9,University of Notre Dame (Mendoza),Mendoza,0.19,65000,73.4012398386909,Far
10,University of California-Irvine (Merage),Merage,0.22,54479,36.54161387212739,Close
11,University of North Carolina at Chapel Hill (Kenan-Flagler),Kenan-Flagler,0.1217,66667,111.49127316742637,Far
12,Southern Methodist University (Cox),Cox,0.1112,67138,4.6341468997534045,Close
13,Emory University (Goizueta),Goizueta,0.1721,66297,5.053226640179671,Close
14,Boston College (Carroll),Carroll,0.25,65814,6.032594684089073,Close
15,University of Texas-Austin (McCombs),McCombs,0.228,67347,1.2486316568410578,Close
16,Georgia Institute of Technology (Scheller),Scheller,0.237,62545,1.9229956343492116,Close
17,Boston University (Questrom),Questrom,0.1776,64275,2.5333151389544533,Close
18,Indiana University (Kelley),Kelley,0.4038,62734,45.38104985432886,Close
19,Tulane University (Freeman),Freeman,0.22,60442,315.4202670844136,Far
20,The College of William & Mary (Mason),Mason,0.224,64724,114.20919086923641,Far
21,University of Richmond (Robins),Robins,0.3031,62969,95.92986343028697,Far
22,University of Washington (Foster),Foster,0.2095,61039,3.8569626955916902,Close
23,University of Minnesota (Carlson),Carlson,0.2844,56989,1.108483300956961,Close
24,Babson College,Babson College,0.24,57665,11.537385810482737,Close
25,Worcester Polytechnic Institute (Foisie),Foisie,0.36,69930,38.918462726760026,Close
26,Fordham University (Gabelli),Gabelli,0.449,63777,12.157420087050989,Close
27,University of Georgia (Terry),Terry,0.4744,56428,59.72932075069157,Far
28,University of Houston (Bauer),Bauer,0.2518,54144,3.199364932191736,Close
29,Rutgers Business School (New Brunswick),New Brunswick,0.46,60228,26.25287739145775,Close
30,Texas A&M University (Mays),Mays,0.3407,57286,83.0060454222879,Far
31,Syracuse University (Whitman),Whitman,0.381,59371,194.53967602282248,Far
32,University of Massachusetts-Amherst (Isenberg),Isenberg,0.306,57782,75.40551290241179,Far
33,University of Utah (Eccles),Eccles,0.408,51478,363.6304989714836,Far
34,American University (Kogod),Kogod,0.316,58670,3.438609330456038,Close
35,Ohio State University (Fisher),Fisher,0.386,54740,3.351521645642385,Close
36,Pennsylvania State University (Smeal),Smeal,0.37,60046,154.14618690329766,Far
37,University of Denver (Daniels),Daniels,0.463,50975,4.649337508770598,Close
38,Texas Christian University (Neeley),Neeley,0.4656,60719,3.5861098110030567,Close
39,University of Kentucky (Gatton),Gatton,0.6979,49175,69.7521421562071,Far
40,Purdue University (Krannert),Krannert,0.62,57473,60.190220965091044,Far
41,Rensselaer Polytechnic Institute (Lally),Lally,0.42,67200,140.36540325607322,Far
42,Michigan State University (Broad),Broad,0.3219,58706,77.80726796592977,Far
43,Santa Clara University (Leavey),Leavey,0.435,59333,2.9451317156834995,Close
44,Miami University (Farmer),Farmer,0.626,59540,78.35694292744445,Far
45,St. John's University (Tobin),Tobin,0.59,59146,11.198676392918623,Close
46,Seton Hall University (Stillman),Stillman,0.576,59451,12.727569798745321,Close
